                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8059,                 3.7511,                 3.4131,                 1.6285,                0.12497,                   0.24,                0.05495,                0.02391,                0.10018,                0.19039,                0.03532,                0.01228,                 2.1284,                 6.6902,                  13.22,                 1.9742,                 0.0004,                 0.0004,                 0.0004
                      2,                  1.681,                 2.6395,                 2.0057,                 1.5206,                0.30378,                  0.275,                0.21053,                0.09143,                0.29484,                   0.27,                0.20002,                0.08326,                 2.2023,                 3.7341,                  6.952,                 2.2388,             0.00081188,             0.00081188,             0.00081188
                      3,                 1.7286,                 2.7326,                 1.8908,                 1.5663,                0.00729,                    0.3,                0.00492,                0.00192,                 0.0056,                  0.085,                0.00275,                0.00079,                 2.7746,                 21.366,                    inf,                 6.8445,              0.0012154,              0.0012154,              0.0012154
                      4,                  1.755,                 2.7245,                  1.773,                 1.5956,                 0.0287,                   0.13,                0.01746,                0.00615,                 0.0287,                   0.13,                0.01688,                0.00484,                 2.5859,                 11.061,                 55.857,                 3.9513,              0.0016107,              0.0016107,              0.0016107
                      5,                 1.7926,                 2.6811,                 1.9939,                 1.6717,                0.03114,                  0.035,                0.01336,                0.00524,                0.02042,                   0.04,                 0.0087,                0.00311,                 3.5499,                 22.965,                 11.331,                 7.1357,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7841,                 2.6949,                 1.8365,                 1.6051,                0.15749,                  0.185,                0.06502,                0.02345,                0.22454,                  0.155,                0.07708,                0.02596,                 3.0791,                 9.9794,                 5.2765,                 3.4488,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7436,                 2.6614,                 1.7521,                 1.5946,                0.28719,                   0.15,                0.09335,                 0.0345,                 0.2755,                   0.14,                0.07391,                 0.0243,                 2.6667,                 15.618,                 4.6601,                 3.1984,               0.001901,               0.001901,               0.001901
                      8,                 1.7643,                 2.6445,                 1.7347,                 1.6078,                0.30954,                   0.27,                0.22367,                0.08575,                0.31528,                  0.275,                 0.2244,                0.06949,                   2.27,                 4.5653,                 5.6715,                  2.361,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7161,                 2.6036,                 1.6264,                 1.5468,                0.21156,                  0.315,                0.16931,                0.07439,                0.30315,                   0.24,                0.17681,                0.06989,                 2.5127,                 4.0909,                 3.7049,                 2.2714,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.761,                 2.6806,                  1.694,                  1.601,                0.48442,                  0.345,                0.36093,                 0.1672,                0.48327,                  0.335,                0.36645,                0.16308,                 2.1107,                 3.4798,                 4.4686,                 1.9628,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.677,                 2.5372,                 1.6088,                 1.5634,                 0.3887,                   0.46,                0.39714,                0.18297,                0.45228,                    0.4,                0.39864,                0.17426,                 1.9037,                   3.33,                 2.7823,                 1.7932,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6785,                 2.4668,                 1.5742,                 1.5306,                0.47458,                  0.445,                 0.4389,                0.17515,                0.50266,                   0.44,                0.44656,                0.19002,                 2.1056,                 3.1667,                 2.4913,                 1.9081,               0.001802,               0.001802,               0.001802
                     13,                 1.6556,                 2.4664,                  1.577,                 1.5201,                0.57586,                  0.405,                0.44187,                0.19311,                0.58297,                   0.41,                0.45193,                0.19633,                 1.9354,                  3.766,                 2.2087,                 1.8305,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6286,                 2.4753,                 1.4761,                 1.4906,                0.57986,                   0.45,                0.47201,                0.21783,                0.55499,                  0.465,                0.45833,                0.20196,                 1.9495,                 3.3794,                 1.8399,                 1.7194,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.6273,                 2.4845,                 1.4408,                 1.4907,                0.44951,                  0.425,                0.38756,                 0.1803,                0.46742,                   0.38,                0.36144,                0.16707,                 1.9959,                 3.3389,                 2.2303,                 1.7396,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.5965,                 2.3663,                 1.4384,                 1.4652,                0.53147,                  0.375,                0.43857,                0.21365,                0.59339,                  0.365,                0.44277,                0.19869,                 1.8873,                 3.1679,                 2.1236,                   1.77,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.6242,                 2.3733,                 1.4145,                 1.4998,                0.53775,                  0.425,                0.39795,                0.15976,                0.44286,                0.44911,                0.37169,                0.14747,                 2.1244,                 3.4747,                 2.2967,                 1.8958,               0.001703,               0.001703,               0.001703
                     18,                  1.587,                 2.4014,                 1.3963,                 1.4761,                0.51662,                0.56645,                0.54739,                0.26139,                0.52791,                   0.56,                0.54313,                0.25626,                 1.8869,                 2.9889,                 1.7992,                 1.7313,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.5448,                 2.3596,                  1.348,                 1.4543,                 0.4899,                0.41777,                 0.4288,                0.20279,                0.44155,                  0.445,                0.42087,                 0.1927,                 2.0216,                 3.3509,                 2.1533,                 1.8293,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.5475,                 2.3379,                 1.3575,                 1.4487,                0.71682,                0.50626,                 0.6054,                0.30185,                0.77402,                   0.52,                0.61668,                0.30945,                 1.7947,                 2.6448,                 1.5552,                 1.6288,              0.0016436,              0.0016436,              0.0016436
